sheet,country,year,n_banks_reporting
Impaired loans-RWAs,SK,2021,5
Impaired loans-RWAs,AT,2020,21
Impaired loans-RWAs,BE,2020,9
Impaired loans-RWAs,CY,2020,4
Impaired loans-RWAs,DE,2020,22
Impaired loans-RWAs,EE,2020,2
Impaired loans-RWAs,ES,2020,27
Impaired loans-RWAs,FI,2020,15
Impaired loans-RWAs,FR,2020,81
Impaired loans-RWAs,GR,2020,4
Impaired loans-RWAs,IE,2020,7
Impaired loans-RWAs,IT,2020,33
Impaired loans-RWAs,LT,2020,4
Impaired loans-RWAs,LU,2020,5
Impaired loans-RWAs,LV,2020,8
Impaired loans-RWAs,MT,2020,3
Impaired loans-RWAs,NL,2020,8
Impaired loans-RWAs,PT,2020,15
Impaired loans-RWAs,SI,2020,4
Impaired loans-RWAs,SK,2020,5
Impaired loans-RWAs,AT,2019,21
Impaired loans-RWAs,BE,2019,9
Impaired loans-RWAs,CY,2019,4
Impaired loans-RWAs,DE,2019,20
Impaired loans-RWAs,EE,2019,2
Impaired loans-RWAs,ES,2019,28
Impaired loans-RWAs,FI,2019,17
Impaired loans-RWAs,FR,2019,83
Impaired loans-RWAs,GR,2019,4
Impaired loans-RWAs,IE,2019,6
Impaired loans-RWAs,IT,2019,26
Impaired loans-RWAs,LT,2019,4
Impaired loans-RWAs,LU,2019,5
